epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.125,1.23229,0.99799,1.1536,0.97914,0.9756,0.98916,0.66608,1.14657,0.51161,1.0993,0.00332765,0.00332765,0.00332765
2,288.225,1.16092,0.6146,1.11131,0.98155,0.98144,0.99185,0.67133,1.17623,0.55764,1.11686,0.00666026,0.00666026,0.00666026
3,422.048,1.19071,0.67306,1.14611,0.96357,0.97476,0.98785,0.65614,1.17028,0.61237,1.14481,0.00998997,0.00998997,0.00998997
4,560.184,1.21639,0.70135,1.16856,0.97316,0.96733,0.98731,0.66472,1.15523,0.58928,1.15456,0.00999023,0.00999023,0.00999023
5,693.042,1.20207,0.66564,1.16724,0.97183,0.92353,0.97099,0.66035,1.14872,0.65906,1.15906,0.00998264,0.00998264,0.00998264
6,826.239,1.18784,0.63853,1.1567,0.97396,0.94408,0.98407,0.68175,1.13931,0.55743,1.13168,0.00997288,0.00997288,0.00997288
7,958.846,1.16852,0.62818,1.15269,0.97863,0.9755,0.99052,0.68248,1.12527,0.54416,1.13538,0.00996097,0.00996097,0.00996097
8,1090.01,1.15614,0.59681,1.13995,0.97549,0.97508,0.9903,0.69093,1.11988,0.50744,1.12499,0.0099469,0.0099469,0.0099469
9,1221.15,1.15286,0.59595,1.13965,0.98852,0.9755,0.99359,0.69748,1.13791,0.50744,1.11574,0.00993068,0.00993068,0.00993068
10,1354.27,1.14449,0.5816,1.13361,0.98293,0.98334,0.99392,0.70786,1.10271,0.48582,1.11254,0.00991232,0.00991232,0.00991232
11,1486.66,1.12325,0.56891,1.12533,0.97923,0.98003,0.99353,0.69951,1.0919,0.48466,1.11314,0.00989183,0.00989183,0.00989183
12,1620.46,1.12759,0.55899,1.11917,0.97789,0.98504,0.99327,0.69415,1.12129,0.4983,1.11665,0.00986922,0.00986922,0.00986922
13,1753.59,1.11433,0.55208,1.11357,0.98488,0.96719,0.98807,0.70014,1.10898,0.51987,1.14884,0.00984449,0.00984449,0.00984449
14,1885.63,1.10876,0.54653,1.12248,0.98427,0.97544,0.99346,0.70398,1.10889,0.46409,1.10486,0.00981765,0.00981765,0.00981765
